X,Y,Z,Cp
2.799648139620068719e+02,8.080808080808081328e+00,-4.117154601115192492e+01,-2.923561863424773422e-01
9.884867903108575105e-01,1.616161616161616266e+01,-5.000000000000000000e+01,1.000000000000000000e+00
1.218761073254623239e+00,1.616161616161616266e+01,-4.826016290428167110e+01,9.668842584433411380e-01
1.806178603433692409e+00,1.616161616161616266e+01,-4.657783134737810826e+01,8.702233233702790782e-01
2.716035971770592194e+00,1.616161616161616266e+01,-4.495310478945815902e+01,7.177037494126651263e-01
3.919184925933165253e+00,1.616161616161616266e+01,-4.337865045337171210e+01,5.166851756261756634e-01
5.393949415511444911e+00,1.616161616161616266e+01,-4.184008283215703727e+01,2.736710666617983567e-01
7.127425625116323715e+00,1.616161616161616266e+01,-4.031608516851214574e+01,-5.980028893453837903e-03
9.115851478023541787e+00,1.616161616161616266e+01,-3.877830872265762707e+01,-3.180642036200558853e-01
1.136379764701074357e+01,1.616161616161616266e+01,-3.719127750536151211e+01,-6.592615174222997698e-01
1.388214922555594910e+01,1.616161616161616266e+01,-3.551268078745921031e+01,-1.026640635044762329e+00
1.668517564997084435e+01,1.616161616161616266e+01,-3.369446130413140139e+01,-1.417056690977601674e+00
1.978783819927409127e+01,1.616161616161616266e+01,-3.168665254428491096e+01,-1.826675548837654262e+00
2.322021376328640230e+01,1.616161616161616266e+01,-2.948763482794151258e+01,-2.252845413893135529e+00
2.701316455353101986e+01,1.616161616161616266e+01,-2.709211894318515590e+01,-2.691579509440597207e+00
3.119059689703827587e+01,1.616161616161616266e+01,-2.448578140584962526e+01,-3.136612637531566161e+00
3.577284831906950302e+01,1.616161616161616266e+01,-2.166523573887022636e+01,-3.580062509855830744e+00
4.077655835979045662e+01,1.616161616161616266e+01,-1.864108930568428946e+01,-4.012613802891708659e+00
4.621540487433558297e+01,1.616161616161616266e+01,-1.544048862646452847e+01,-4.423835811806173801e+00
5.238754916534288952e+01,1.616161616161616266e+01,-1.270138215055490605e+01,-4.820397361928524305e+00
5.875556412496318615e+01,1.616161616161616266e+01,-9.369605125823895264e+00,-5.152563151572266520e+00
6.558707207837225894e+01,1.616161616161616266e+01,-6.061539399718569143e+00,-5.427953070186704920e+00
7.291437664502852556e+01,1.616161616161616266e+01,-2.881673675643057209e+00,-5.635666747953482769e+00
8.080862331229316453e+01,1.616161616161616266e+01,3.108354638526122926e-02,-5.764692705821505392e+00
8.922040849059156642e+01,1.616161616161616266e+01,2.428648314084441040e+00,-5.802255500833592095e+00
9.810184388045485093e+01,1.616161616161616266e+01,4.131331631196843546e+00,-5.739859803231684765e+00
1.074312279351257473e+02,1.616161616161616266e+01,4.902540979139345723e+00,-5.573013964556578159e+00
1.162172197899389374e+02,1.616161616161616266e+01,4.561981858833064507e+00,-5.332067092395248231e+00
1.240192408170919265e+02,1.616161616161616266e+01,3.816660291652013370e+00,-5.059188922012689105e+00
1.315660664924483285e+02,1.616161616161616266e+01,2.944506823191872513e+00,-4.750435858997072103e+00
1.391290896131214652e+02,1.616161616161616266e+01,1.942146258354839006e+00,-4.404163005957811627e+00
1.466856204439534963e+02,1.616161616161616266e+01,8.162996876518775480e-01,-4.028606127451758390e+00
1.542132521550996671e+02,1.616161616161616266e+01,-4.256423208207706921e-01,-3.632322324522068602e+00
1.616899179595014289e+02,1.616161616161616266e+01,-1.775668194025456614e+00,-3.223964271969430140e+00
1.690939446857842654e+02,1.616161616161616266e+01,-3.225183308677230798e+00,-2.812060781290012024e+00
1.764041040552713753e+02,1.616161616161616266e+01,-4.765039118218666658e+00,-2.404809021365423405e+00
1.835996626434834411e+02,1.616161616161616266e+01,-6.385555811082923583e+00,-2.009883218223191381e+00
1.906604311570575874e+02,1.616161616161616266e+01,-8.076541287330698538e+00,-1.634264086654995340e+00
1.975668132853859049e+02,1.616161616161616266e+01,-9.827309435561716100e+00,-1.284092619478852004e+00
2.043741322253140140e+02,1.616161616161616266e+01,-1.114485773028565063e+01,-9.617536390625480713e-01
2.109093328824954199e+02,1.616161616161616266e+01,-1.304442213981225507e+01,-6.774266150721005575e-01
